Name,Abbreviation,Genitive,Meaning,Brightest Star
Andromeda,And,Andromedae,Princess of Ethiopia,Alpheratz
Antlia,Ant,Antilae,Air Pump,Alpha Antilae
Apus,Aps,Apodis,Bird of Paradise,Alpha Apodis
Aquarius,Aqr,Aquarii,Water-bearer,Sadalsuud
Aquila,Aql,Aquilae,The Eagle,Altair
Ara,Ara,Arae,Altar,Beta Arae
Aries,Ari,Arietis,The Ram,Hamal
Auriga,Aur,Aurigae,The Charioteer,Capella
Boötes,Boo,Boötis,Herdsman,Arcturus
Caelum,Cae,Caeli,Chisel,Alpha Caeli
Camelopardalis,Cam,Camelopardalis,Giraffe,Beta Camelopardalis
Cancer,Cnc,Cancri,Crab,Tarf
Canes Venatici,CVn,Canum Venaticorum,The hunting dogs,Cor Caroli
Canis Major,CMa,Canis Majoris,Bigger dog,Sirius
Canis Minor,CMi,Canis Minoris,Smaller dog,Procyon
Capricornus,Cap,Capricorni,The sea goat,Deneb Algedi
Carina,Car,Carinae,Keel,Canopus
Cassiopeia,Cas,Cassiopeiae,Cassiopeia,Schedar
Centaurus,Cen,Centauri,The Centaur,Rigil Kentarus
Cepheus,Cep,Cephei,Cepheus,Alderamin
Cetus,Cet,Ceti,The whale,Diphda
Chamaeleon,Cha,Chamaeleontis,The chameleon,Alpha Chamaeleontis
Circinus,Cir,Circini,Compasses,Alpha Circini
Columba,Col,Columbae,The dove,Phact
Coma Berenices,Com,Comae Berenices,Berenice’s hair,Beta Comae Berenices
Corona Australis,CrA,Coronae Australis,Southern crown,Meridiana
Corona Borealis,CrB,Coronae Borealis,Northern crown,Alpheeca
Corvus,Crv,Corvi,The crow,Gienah
Crater,Crt,Crateris,Cup,Delta Crateris
Crux,Cru,Crucis,Southern cross,Acrux
Cygnus,Cyg,Cygni,The swan,Deneb
Delphinus,Del,Delphini,The Dolphin,Rotanev
Dorado,Dor,Doradus,Dolphinfish,Alpha Doradus
Draco,Dra,Draconis,Dragon,Eltanin
Equuleus,Equ,Equulei,Pony,Kitalpha
Eridanus,Eri,Eridani,River Eridanus,Achernar
Fornax,For,Fornacis,The furnace,Dalim
Gemini,Gem,Geminorum,The twins,Pollux
Grus,Gru,Gruis,The crane,Alnair
Hercules,Her,Herculis,Hercules,Kornephoros
Horologium,Hor,Horologii,Pendulum clock,Alpha Horologii
Hydra,Hya,Hydrae,Hydra,Alphard
Hydrus,Hyi,Hydri,Water snake,Beta Hydri
Indus,Ind,Indi,Indian,Alpha Indi
Lacerta,Lac,Lacertae,Lizard,Alpha Lacertae
Leo,Leo,Leonis,The lion,Regulus
Leo Minor,LMi,Leonis Minoris,Smaller lion,Praecipua
Lepus,Lep,Leporis,Hare,Arneb
Libra,Lib,Librae,The scale,Zubeneschamali
Lupus,Lup,Lupi,Wolf,Alpha Lupi
Lynx,Lyn,Lyncis,Linx,Alpha Lyncis
Lyra,Lyr,Lyrae,Harp,Vega
Mensa,Men,Mensae,Table mountain,Alpha Mensae
Microscopium,Mic,Microscopii,Microscope,Gamma Microscopii
Monoceros,Mon,Monocerotis,The unicorn,Beta Monocerotis
Musca,Mus,Muscae,The fly,Alpha Muscae
Norma,Nor,Normae,Level (carpenter’s),Gamma Normae
Octans,Oct,Octantis,Octant (instrument),Nu Octantis
Ophiucus,Oph,Ophiuchi,Serpent-bearer,Rasalhague
Orion,Ori,Orionis,Orion,Rigel
Pavo,Pavo,Pavonis,Peacock,Peacock
Pegasus,Peg,Pegasi,Pegasus,Enif
Perseus,Per,Persei,Perseus,Mirfak
Phoenix,Phe,Phoenicis,Phoenix,Ankaa
Pictor,Pic,Pictoris,Easel,Alpha Pictoris
Pisces,Psc,Piscium,The Fishes,Alpherg
Piscis Austrinus,PsA,Piscis Austrini,Southern fish,Formalhaut
Puppis,Pup,Puppis,Deck (boat),Naos
Pyxis,Pyx,Pyxidis,Mariner’s compass,Alpha Pyxidis
Reticulum,Ret,Reticuli,Eyepiece graticule,Alpha Reticuli
Sagitta,Sge,Sagittae,The arrow,Gamma Sagittae
Sagittarius,Sgr,Sagittarii,The archer,Kaus Australis
Scorpius,Sco,Scorpii,Scorpion,Antares
Sculptor,Scl,Sculptoris,Sculptor,Alpha Sculptoris
Scutum,Sct,Scuti,Shield,Alpha Scuti
Serpens,qSer,Serpentis,Snake,Unukalhai
Sextans,Sex,Sextantis,Sextant,Alpha Sextantis
Taurus,Tau,Tauri,Bull,Aldebaran
Telescopium,Tel,Telescopii,Telescope,Alpha Telescopii
Triangulum,Tri,Trianguli,Triangle,Beta Trianguli
Triangulum Australe,TrA,Trianguli Australis,Southern triangle,Atria
Tucana,Tuc,Tucanae,Toucan,Alpha Tucanae
Ursa Major,UMa,Ursae Majoris,Great bear,Alioth
Ursa Minor,UMi,Ursae Minoris,Lesser bear,Polaris
Vela,Vel,Velorum,Sails,Gamma Velorum
Virgo,Vir,Virginis,Maiden,Spica
Volans,Vol,Volantis,Flying fish,Beta Volantis
Vulpecula,Vul,Vulpeculae,Fox,Anser
